Module/Component,Data Element,Description
Unit 9: School Location,hazards_experienced,"specific trail hazards (Snake bites, Leeches, Flash floods)"
Unit 9: School Location,river_crossing_count,Number of rivers that must be traversed on foot
Unit 9: School Location,points_of_reference,"Time/Distance to Hospital, Bgy Hall, SDO, and Highway"
Unit 9: School Location,cellular_coverage,Quality of network signal (None to Strong)
Unit 9: School Location,natural_calamities,"History of Typhoons, Floods, Earthquakes (Incidence count)"
Unit 9: School Location,anthropogenic_threats,Conflicts or civil unrest history in the vicinity
Unit 9: School Location,road_passable_pct,Percentage of route accessible by public transport
Unit 10: Verification,remarks,Final attestations and contextual notes appended by the school head
Unit 10: Verification,stats,Aggregate summary statistics to be approved prior to submission
Engineer Form,project_id,Unique sequential identifier for an infrastructure project
Engineer Form,project_name,Official title or scope of the project
Engineer Form,"school_id, school_name",Target school location for the project
Engineer Form,status,"Current standing (e.g., Ongoing, Completed, Not Started)"
Engineer Form,accomplishment_percentage,Progress metric of project completion (0-100)
Engineer Form,status_as_of,Timestamp marking the last progress update
Engineer Form,target_completion_date,Expected date of project turnover
Engineer Form,actual_completion_date,Real date of project turnover
Engineer Form,notice_to_proceed,Date authorization was given to start construction
Engineer Form,contractor_name,Entity carrying out the construction
Engineer Form,approved_budget_for_contract,Planned fiscal allocation for the project
Engineer Form,contract_amount,The actual monetary value of the awarded contract
Engineer Form,"batch_of_funds, funding_year",Capital sourcing and timeline context
Engineer Form,is_donated,Flag indicating if the project was a third-party donation
Engineer Form,ipc,Inventory/Internal tracking reference code
Engineer Form,"latitude, longitude",Geolocation coordinates for the specific project site
Engineer Form,engineer_name,Name of the supervising engineer
Engineer Form,uploader_type,"System classification (EFD, Division Engineer, Non-DepEd)"
Engineer Form,validated_by,Individual who authenticated the project listing
Engineer Infrastructure,buildingName,Naming or identification number of monitored buildings
Engineer Infrastructure,constructionYear,Baseline chronological data (Year Built)
Engineer Infrastructure,"totalClassrooms, condition",Room count and structural integrity rating
Engineer Infrastructure,"hasElectricity, hasWater",Utility availability checkboxes for structural audits
Engineer Resources,ResourceType,"Analyzed utility (Electricity, Water Supply, Internet, Solar)"
Engineer Resources,"Status, ProviderName","Operational status (Functional, Intermittent, Not Working) and provider"
Engineer Resources,AvgMonthlyCost,Financial metric estimating utility spend
Engineer Images,"image_data, category",Base64 encoded payload and classification (Internal, External, Defect)
